第0次训练后，新的数据集测试
误差范围：1.4002952575683594
负 | 实际值：0.0 | 预测值（含误差范围）：2.4451181888580322
负 | 实际值：-1.0 | 预测值（含误差范围）：2.5515280961990356
胜 | 实际值：3.0 | 预测值（含误差范围）：3.6385873556137085
负 | 实际值：1.0 | 预测值（含误差范围）：-0.352752685546875
负 | 实际值：-3.0 | 预测值（含误差范围）：-1.0694140195846558
胜 | 实际值：1.0 | 预测值（含误差范围）：1.8738800883293152
负 | 实际值：-1.0 | 预测值（含误差范围）：0.5632752180099487
胜 | 实际值：1.0 | 预测值（含误差范围）：1.8583177328109741
胜 | 实际值：0.0 | 预测值（含误差范围）：0.3088414669036865
胜 | 实际值：1.0 | 预测值（含误差范围）：0.17762064933776855
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.6193293333053589
负 | 实际值：-1.0 | 预测值（含误差范围）：0.2493964433670044
胜 | 实际值：2.0 | 预测值（含误差范围）：1.7634076178073883
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.4363356828689575
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.40017008781433105
负 | 实际值：-1.0 | 预测值（含误差范围）：2.3414825201034546
负 | 实际值：0.0 | 预测值（含误差范围）：3.850894808769226
负 | 实际值：1.0 | 预测值（含误差范围）：3.58505380153656
胜 | 实际值：1.0 | 预测值（含误差范围）：1.8563330173492432
胜 | 实际值：1.0 | 预测值（含误差范围）：0.38666605949401855
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.39843451976776123
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.34803712368011475
负 | 实际值：1.0 | 预测值（含误差范围）：2.4924875497817993
负 | 实际值：-2.0 | 预测值（含误差范围）：1.1243164539337158
胜 | 实际值：4.0 | 预测值（含误差范围）：3.8842321634292603
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.5390897989273071
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.629858136177063
负 | 实际值：2.0 | 预测值（含误差范围）：4.2171348333358765
负 | 实际值：-1.0 | 预测值（含误差范围）：1.48263680934906
负 | 实际值：-1.0 | 预测值（含误差范围）：2.6211308240890503
负 | 实际值：2.0 | 预测值（含误差范围）：3.9648154973983765
胜 | 实际值：0.0 | 预测值（含误差范围）：0.8244514763355255
负 | 实际值：-1.0 | 预测值（含误差范围）：0.5853027105331421
负 | 实际值：0.0 | 预测值（含误差范围）：1.933656096458435
负 | 实际值：0.0 | 预测值（含误差范围）：1.79312863945961
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6645567417144775
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.6473816633224487
负 | 实际值：0.0 | 预测值（含误差范围）：2.8356984853744507
负 | 实际值：4.0 | 预测值（含误差范围）：2.78814160823822
负 | 实际值：-4.0 | 预测值（含误差范围）：-1.1011258363723755
负 | 实际值：4.0 | 预测值（含误差范围）：2.667328953742981
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8456863164901733
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.39250731468200684
负 | 实际值：1.0 | 预测值（含误差范围）：-0.26530492305755615
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8756629228591919
负 | 实际值：1.0 | 预测值（含误差范围）：-0.07324862480163574
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.7144774198532104
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.7596467733383179
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.7099543809890747
负 | 实际值：-3.0 | 预测值（含误差范围）：0.11161589622497559
负 | 实际值：3.0 | 预测值（含误差范围）：4.246533274650574
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.052316904067993164
胜 | 实际值：3.0 | 预测值（含误差范围）：3.8000954389572144
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.13879859447479248
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.2865954637527466
负 | 实际值：-1.0 | 预测值（含误差范围）：2.4864917993545532
负 | 实际值：0.0 | 预测值（含误差范围）：4.025973200798035
负 | 实际值：2.0 | 预测值（含误差范围）：3.916051983833313
胜 | 实际值：0.0 | 预测值（含误差范围）：0.6301026940345764
胜 | 实际值：0.0 | 预测值（含误差范围）：0.5161615014076233
负 | 实际值：2.0 | 预测值（含误差范围）：0.7071385383605957
负 | 实际值：-4.0 | 预测值（含误差范围）：-1.0034290552139282
负 | 实际值：1.0 | 预测值（含误差范围）：3.085193395614624
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6775512397289276
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.6284759044647217
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.6997452974319458
胜 | 实际值：0.0 | 预测值（含误差范围）：0.21901190280914307
负 | 实际值：-1.0 | 预测值（含误差范围）：0.3181002140045166
胜 | 实际值：1.0 | 预测值（含误差范围）：1.744202196598053
负 | 实际值：-2.0 | 预测值（含误差范围）：0.2958763837814331
胜 | 实际值：3.0 | 预测值（含误差范围）：3.2430498600006104
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.3422337770462036
胜 | 实际值：3.0 | 预测值（含误差范围）：2.137496292591095
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.7231928110122681
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.15006029605865479
胜 | 实际值：4.0 | 预测值（含误差范围）：4.216670870780945
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.42706334590911865
负 | 实际值：0.0 | 预测值（含误差范围）：1.6010608673095703
负 | 实际值：0.0 | 预测值（含误差范围）：1.7331465780735016
负 | 实际值：-2.0 | 预测值（含误差范围）：1.5350953042507172
负 | 实际值：1.0 | 预测值（含误差范围）：4.2045100927352905
胜 | 实际值：2.0 | 预测值（含误差范围）：2.3975573778152466
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.360390305519104
负 | 实际值：-1.0 | 预测值（含误差范围）：0.5458377599716187
负 | 实际值：0.0 | 预测值（含误差范围）：1.9101392030715942
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6999572217464447
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.6040863990783691
负 | 实际值：1.0 | 预测值（含误差范围）：-0.6674939393997192
胜 | 实际值：-1.0 | 预测值（含误差范围）：-1.1279574632644653
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.517469048500061
